1979	08	30	TI	TV	18	0	SPG	FJ	3	1471	797	+1	−	77	179
1979	09	01	TV	TO	5	3	SPG	FJ	22	819	677	0	−3	179	185
1979	09	03	NC	TV	11	0	SPG	FJ	3	1446	816	0	0	84	179
1979	09	05	KI	TV	3	3	SPG	FJ	12	599	804	0	0	189	179
1979	09	06	GU	TV	7	2	SPG	FJ	52	746	752	+1	−2	182	181
2003	05	01	FJ	TV	9	0	F		1	1376	751	+1	0	114	210
2003	06	30	TV	KI	3	2	SPG	FJ	12	763	587	0	−3	210	226
2003	07	01	FJ	TV	4	0	SPG		1	1362	762	0	0	117	210
2003	07	03	VU	TV	1	0	SPG	FJ	4	1169	758	+1	0	159	210
2003	07	05	SB	TV	4	0	SPG	FJ	4	1252	754	+1	0	146	210
2007	08	25	FJ	TV	16	0	OQG	WS	5	1320	749	+1	0	127	213
2007	08	27	NC	TV	1	0	OQG	WS	3	1204	746	+1	0	155	213
2007	08	29	TI	TV	1	1	OQG	WS	-18	1214	764	−6	+1	152	212
2007	09	01	CK	TV	4	1	OQG	WS	44	712	720	+6	−1	215	213
2011	08	22	TV	WS	3	0	F	FJ	16	736	681	+2	−3	212	220
2011	08	27	TV	AS	4	0	PG	NC	7	743	347	0	0	212	238
2011	08	30	VU	TV	5	1	PG	NC	5	1220	738	+1	0	151	212
2011	09	01	NC	TV	8	0	PG		2	1286	736	0	0	134	212
2011	09	03	SB	TV	6	1	PG	NC	4	1252	732	+1	−1	142	213
2011	09	05	GU	TV	1	1	PG	NC	7	614	725	0	−1	225	214
2017	12	02	FJ	TV	8	0	PMG	VU	6	1208	719	0	−1	162	216
2017	12	05	TV	NC	2	1	PMG	VU	39	758	1268	+2	−13	214	140
2017	12	09	SB	TV	6	0	PMG	VU	7	1185	751	0	−1	167	215
2017	12	12	VU	TV	10	0	PMG		4	1206	747	−1	0	163	215
2017	12	15	TV	TO	4	3	PMG	VU	10	757	545	+1	−1	214	237
2018	06	09	TV	HG	6	1	F	EN	22	779	773	+3	−2	211	212
2019	07	08	SB	TV	13	0	PG	WS	9	1218	770	+1	−1	157	212
2019	07	10	TI	TV	7	0	PG	WS	8	1193	762	+6	−1	159	213
2019	07	12	AS	TV	1	1	PG	WS	14	474	748	0	−2	240	215
2019	07	15	FJ	TV	10	1	PG	WS	6	1237	742	+2	−1	149	216
2019	07	18	NC	TV	11	0	PG	WS	5	1266	737	+3	0	142	216
2023	11	20	VU	TV	6	0	PG	SB	9	1116	728	+1	0	171	214
2023	11	27	TV	TO	4	0	PG	SB	17	745	496	0	0	214	238
2023	11	30	TV	MP	4	1	PG	SB	11	756	434	0	0	214	240
